"BenRiach 35yo","8.96","0.59","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach vintage 19yo Single Cask (all vintages)","8.96","0.36","13","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet Alpha","8.96","0.10","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (all batches)","8.95","0.16","23","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Intermediate Sherry","8.95","0.41","16","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Glengoyne 40yo","8.95","0.80","3","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Millstone 12yo Sherry Cask","8.95","0.25","7","$$$$","SingleMalt-like","ABC","C","Netherlands","Malt"
"Aberlour A'Bunadh (Batch 47)","8.94","0.36","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 17yo Solstice Peated Port (both editions)","8.94","0.29","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 25yo","8.94","0.46","8","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 46)","8.93","0.05","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Kadhambam","8.93","0.29","12","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Bushmills 21yo Single Malt","8.93","0.34","11","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"GlenDronach 15yo Revival","8.91","0.28","19","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 3)","8.91","0.40","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 4)","8.91","0.31","9","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet XXV 25yo","8.91","0.19","9","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 16yo Thor","8.91","0.32","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 21yo","8.91","0.41","16","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 17yo Solstice 2nd Peated Port Finish","8.90","0.44","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 34)","8.89","0.29","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"AnCnoc 1975","8.89","0.56","4","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"BenRiach 18yo Latada","8.89","0.13","4","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Macallan 10yo Sherry Oak Cask Strength","8.89","0.52","6","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 18yo Sherry Oak","8.89","0.34","16","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan Cask Strength","8.89","0.40","12","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Springbank 13yo Green","8.89","0.21","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 17yo Solstice 1st Peated Port Finish","8.88","0.20","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 21yo","8.87","0.21","14","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Longrow Red 12yo Pinot Noir Finish","8.87","0.38","6","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Springbank 12yo Cask Strength","8.87","0.25","16","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 32)","8.86","0.67","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet Nadurra 16yo","8.86","0.20","21","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 25yo Sherry Oak","8.86","0.46","8","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Companta","8.85","0.56","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bunnahabhain 25yo","8.84","0.36","15","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne Teapot Dram (all batches)","8.84","0.44","6","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Laphroaig Cairdeas 2013 Port Wood","8.84","0.46","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 11yo Australian Shiraz","8.83","0.34","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longmorn 15yo","8.82","0.37","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 10yo Devil's Cask (all batches)","8.81","0.32","16","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Redbreast Lustau Edition","8.81","0.39","4","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Aberlour 12yo Non-Chill-Filtered","8.80","0.25","11","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Amrut PX Sherry Single Cask","8.80","0.45","8","$$$$","SingleMalt-like","ABC","A","India","Malt"
"GlenDronach Cask Strength (batch 5)","8.80","0.16","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Green Spot Chteau Loville Barton","8.80","0.33","7","$$$$","SingleMalt-like","ABC","C","Ireland","Blend"
"Highland Park 15yo Fire","8.80","0.43","6","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Royal Brackla 21yo","8.80","0.18","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 48)","8.79","0.53","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 12yo Sauternes Cask Finish","8.79","0.21","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Knappogue Castle 16yo Twin Wood","8.79","0.47","5","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Aberlour A'Bunadh (Batch 42)","8.78","0.11","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 21yo Port Wood","8.78","0.38","15","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Compass Box This is Not a Luxury Whisky","8.78","0.46","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 1824 Ruby","8.78","0.21","11","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour 18yo","8.77","0.28","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran Malt Amarone Cask Finish","8.77","0.35","10","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Jura Brooklyn","8.77","0.21","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 105","8.76","0.35","21","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Nectar d'Or","8.76","0.29","20","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfarclas 17yo","8.75","0.27","17","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Cask Strength (batch 1)","8.75","0.46","4","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"AnCnoc 22yo","8.74","0.31","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Sherry Oak","8.74","0.31","4","$$$$$","SingleMalt-like","ABC","B","Taiwan","Malt"
"Longmorn 16yo","8.74","0.33","17","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 1824 Sienna","8.74","0.35","16","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 50)","8.73","0.36","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenrothes Minister's Reserve","8.73","0.17","4","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 17yo Doublewood","8.72","0.24","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 25yo","8.72","0.27","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour 16yo Double Cask Matured","8.71","0.19","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 18yo Allardice","8.71","0.38","16","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 15yo","8.71","0.26","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 11yo Port Cask","8.71","0.37","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 21yo Parliament","8.70","0.37","14","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Oban Distillers Edition (all vintages)","8.70","0.24","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 15yo","8.69","0.24","15","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Cask Strength (batch 2)","8.69","0.39","3","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenmorangie Taghta","8.69","0.32","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 1824 Rare Cask","8.69","0.41","10","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Springbank 15yo","8.69","0.25","17","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 12yo Matured in Sherry Wood","8.68","0.21","12","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Mortlach 16yo (F&F)","8.68","0.29","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 38)","8.67","0.16","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Benromach 15yo","8.67","0.47","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glencadam 14yo Oloroso Sherry Cask Finish","8.67","0.53","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 18yo Marsala Finish","8.67","0.13","3","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Tomatin 18yo","8.67","0.22","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ardbeg Galileo","8.66","0.49","15","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich 21yo Gran Reserva","8.66","0.33","13","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mortlach 15yo (Gordon & MacPhail)","8.66","0.36","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Sullivans Cove French Oak","8.66","0.29","8","$$$$$+","SingleMalt-like","ABC","C","Tasmania","Malt"
"Aberfeldy 18yo","8.65","0.26","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Karuizawa Asama Vintages 1999-2000","8.65","0.44","9","$$$$$+","SingleMalt-like","ABC","C","Japan","Malt"
"Redbreast Mano a Lmh","8.65","0.44","3","$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Arran Malt Madeira Wine Cask","8.64","0.43","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Hazelburn 12yo (Springbank)","8.64","0.25","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig PX Triple Matured","8.64","0.58","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 25yo Fine Oak","8.64","0.25","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Reflexion","8.64","0.32","3","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 16yo Triple Cask","8.63","0.23","9","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"AnCnoc 2000","8.62","0.17","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie A Midwinter Nights Dram","8.62","0.35","3","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Penderyn Portwood","8.61","0.41","5","$$$","SingleMalt-like","ABC","C","Wales","Malt"
"Arran Malt Port Cask Finish","8.60","0.40","11","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 18yo","8.60","0.38","13","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalwhinnie Distillers Edition","8.59","0.34","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 12yo Original","8.59","0.21","20","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfarclas 12yo","8.59","0.34","18","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 21yo","8.59","0.31","12","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Cask Strength (all batches)","8.59","0.52","10","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Bowmore 15yo Darkest","8.58","0.34","18","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 18yo Tawny Port Finish","8.58","0.39","4","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfiddich 15yo Solera","8.58","0.25","23","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 12yo Cask Strength","8.58","0.39","10","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Macallan 12yo Sherry Oak","8.58","0.27","19","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Tomatin 14yo Portwood","8.58","0.36","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Quinta Ruban","8.57","0.48","21","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Macallan 30yo Fine Oak","8.57","0.34","6","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Dornoch","8.56","0.63","8","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Duthac","8.56","0.28","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Whisky Maker's Edition","8.55","0.37","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran Malt Sherry Single Cask","8.54","0.53","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 14yo Burgundy Wood","8.54","0.68","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tobermory 15yo","8.54","0.34","13","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tyrconnell 10yo Port Cask Finish","8.54","0.37","10","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Balblair 1989","8.53","0.46","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenglassaugh 26yo","8.53","0.53","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Dalmore 18yo","8.52","0.39","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 15yo Tawny Port Finish","8.51","0.21","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 12yo Enigma","8.51","0.26","10","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 12yo","8.51","0.38","10","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Cask Strength (batch 4)","8.51","0.15","3","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Talisker Port Ruighe","8.50","0.40","15","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Milsean","8.49","0.40","9","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bushmills 16yo Single Malt","8.48","0.48","16","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Glen Moray Classic Sherry Cask finish","8.48","0.23","3","$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne 15yo","8.48","0.53","9","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Cask Strength (batch 3)","8.48","0.82","5","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Jura 16yo Diurach's Own","8.48","0.39","13","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Teeling Single Malt","8.48","0.37","6","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Dalmore Cigar Malt","8.47","0.43","6","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park Dark Origins","8.47","0.46","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura 21yo","8.47","0.66","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberfeldy 16yo","8.46","0.22","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Naarangi","8.46","0.65","8","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Balvenie 12yo Doublewood","8.43","0.34","20","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glentauchers 1991 18yo (Gordon & MacPhail)","8.43","0.24","3","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Redbreast All Sherry Single Cask 1999","8.43","0.90","4","$$$$$","SingleMalt-like","ABC","A","Ireland","Malt"
"Glenfiddich 19yo Age of Discovery (Madeira Cask)","8.42","0.48","12","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 10yo Sherry Oak","8.41","0.35","9","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Lasanta","8.40","0.37","19","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 12yo Triple Cask","8.39","0.46","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glen Garioch 1999 Sherry Cask Matured","8.39","0.95","7","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Wemyss Malts The Spice King","8.39","0.31","11","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Blair Athol 12yo (F&F)","8.38","0.45","7","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 14yo Sauternes Cask Finish","8.38","0.38","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 15yo Tawny Port Finish","8.38","0.38","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour 12yo Double Cask Matured","8.37","0.15","13","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Bruichladdich Rocks","8.36","0.30","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 11yo Cabernet Sauvignon","8.36","1.17","10","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin Cu Bocan Sherry Edition","8.36","0.28","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glencadam 12yo Port Wood Finish","8.35","0.30","6","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 10yo","8.35","0.31","13","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Dalmore 15yo","8.34","0.52","16","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Benrinnes 15yo F&F","8.33","0.80","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore Cigar Malt Reserve","8.33","0.64","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore King Alexander III","8.32","0.32","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tyrconnell 10yo Sherry Cask Finish","8.32","0.16","5","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Arran Malt Sherry Cask Finish","8.31","0.55","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig Select","8.31","0.37","11","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Westland Sherry Wood","8.31","0.56","10","$$$$","SingleMalt-like","ABC","B","USA","Malt"
"Glenfiddich Malt Master's Edition","8.30","0.29","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet Nadurra Oloroso","8.30","0.72","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Jura 12yo Elixir","8.30","0.46","10","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour 10yo","8.28","0.36","13","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Concertmaster Port Cask","8.28","0.55","18","$$$$","SingleMalt-like","ABC","C","Taiwan","Malt"
"Macallan Select Oak","8.27","0.37","10","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Wemyss Malts Velvet Fig","8.27","1.10","5","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Auchentoshan Three Wood","8.25","0.40","21","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Tullibardine 500 Sherry Finish","8.25","0.28","6","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenrothes Robur Reserve","8.22","0.40","6","$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Bushmills Sherry Cask Reserve","8.19","0.42","3","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Ben Nevis 10yo","8.17","0.44","11","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore Black Rock","8.16","0.27","5","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura 21yo 200th Anniversary","8.15","0.80","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenrothes Sherry Cask Reserve","8.13","0.72","9","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glen Moray 16yo","8.11","0.51","5","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore Gran Reserva","8.06","0.37","9","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tullibardine 1993 Port","7.99","0.36","5","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Jura 16yo","7.93","0.53","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longmorn Distiller's Choice","7.92","0.28","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Royal Lochnagar 12yo","7.92","0.31","11","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Penderyn Madeira","7.91","0.96","13","$$$$","SingleMalt-like","ABC","B","Wales","Malt"
"Jura Turas Mara","7.90","0.58","5","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Penderyn Sherrywood","7.71","0.60","9","$$$$","SingleMalt-like","ABC","B","Wales","Malt"
"Penderyn Legend","7.47","0.89","4","$$$","SingleMalt-like","ABC","B","Wales","Malt"
"Ichiro's Malt The Joker","9.24","0.19","4","$$$$$+","SingleMalt-like","EF","F","Japan","Malt"
"Bunnahabhain 40yo","9.16","0.34","6","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
